name,prompt,negative_prompt,description,category
BODY_SFW_Battle_Scars,"1girl, battle scars, scar on face, warrior scars, healed wound scars, tough survivor look","flawless skin, no marks, pristine",Battle-worn scars. Combos: ARCHETYPE_SFW_Warrior; ARCHETYPE_SFW_Kunoichi; MOOD_SFW_Fierce.,BODY
BODY_SFW_Freckles,"1girl, freckles, freckled skin, natural skin, sun freckles, light freckles across nose and cheeks","perfect skin, flawless, no marks",Natural freckles. Combos: any BODY type; SEASON_SFW_Summer_Beach; HAIR_SFW_Colorful_Dye.,BODY
BODY_SFW_Heterochromia,"1girl, (heterochromia:1.3), different colored eyes, odd eyes, one red eye one blue eye, mismatched eyes","same eye color, normal eyes",Heterochromia eyes. Combos: RACE_SFW_Vampire; ARCHETYPE_SFW_Witch; RACE_SFW_Dragon_Girl.,BODY
BODY_SFW_Hourglass_Perfect,"1girl, hourglass figure, perfect proportions, slim waist, wide hips, long legs, graceful build, toned","deformed body, bad proportions, overweight, chubby, male, boy",Ideal proportions. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; CAMERA_Full_Body. Conflicts: BODY_BBW.,BODY
BODY_SFW_Mature_Woman,"1girl, mature female, adult woman, (mature face:1.2), elegant mature beauty, refined features, womanly figure","child, young, teenage, loli, chibi, male, boy, underage",Clearly adult mature woman. Combos: OUTFIT_Business_Suit; MOOD_Confident; ARCHETYPE_Office_Lady. Conflicts: any youthful archetypes.,BODY
BODY_SFW_Muscular_Fit,"1girl, athletic body, toned, (defined muscles:1.2), fit, strong arms, abs, muscular legs, powerful build","weak, frail, chubby, overweight, petite, male, boy",Athletic muscular build. Combos: ARCHETYPE_Kunoichi; OUTFIT_Sportswear; ACTIVITY_Fighting_Pose. Conflicts: BODY_Petite_Small.,BODY
BODY_SFW_Pear_Shaped,"1girl, pear body shape, (wide hips:1.3), narrow shoulders, bottom-heavy figure, wider lower body, slimmer upper body, natural pear silhouette","inverted triangle, broad shoulders, uniform",Pear body shape. Combos: OUTFIT_SFW_Evening_Dress; BODY_SFW_Thicc_Voluptuous (for overlap). Real body diversity.,BODY
BODY_SFW_Petite_Small,"1girl, petite, small frame, delicate body, slim, tiny waist, short stature, slender limbs, dainty","muscular, tall, wide hips, thick thighs, voluptuous, male, boy",Small delicate frame. Combos: ARCHETYPE_Idol; OUTFIT_School_Uniform; MOOD_Shy. Conflicts: BODY_Thicc_Voluptuous; BODY_Muscular_Fit.,BODY
BODY_SFW_Tall_Elegant,"1girl, tall, long legs, statuesque, lean figure, elegant build, long neck, refined posture, model proportions","short, stubby, chibi, petite, male, boy",Tall model-like build. Combos: MOOD_Elegant; OUTFIT_Evening_Dress; CAMERA_Full_Body. Conflicts: BODY_Petite_Small.,BODY
BODY_SFW_Thicc_Voluptuous,"1girl, voluptuous, thick thighs, wide hips, (curvy body:1.3), plump, soft body, hourglass figure, meaty thighs, smooth skin","skinny, thin, slender, petite, flat chest, narrow hips, bony, male, boy",Thick curvy body. Combos: ARCHETYPE_Bunny_Girl; OUTFIT_Swimwear; ACTIVITY_Dancing. Conflicts: BODY_Petite_Small.,BODY
CAMERA_SFW_Extreme_Closeup,"extreme close-up, macro shot, eye detail, face detail extreme, skin texture close, eyes filling frame, ultra tight crop","wide, full body, establishing",Extreme facial macro. Combos: EXPRESSION styles; VFX_SFW_Bokeh; LIGHTING_SFW_Studio_Three_Point. More intimate than Face_Close.,CAMERA
CAMERA_SFW_Face_Close,"face focus, close-up portrait, facial close up, head shot, face only, expression focus","full body, wide shot, distant",Face portrait. Combos: EXPRESSION styles; MOOD styles; HAIR styles. Best for emotion showcase.,CAMERA
CAMERA_SFW_Fisheye,"fisheye lens, extreme wide angle, barrel distortion, 180 degree view, fisheye distortion, ultra wide fisheye perspective","telephoto, compressed, standard lens",Fisheye distortion. Combos: COMPOSITION_SFW_Dutch_Angle; SCENE_SFW_Cyberpunk_City; DYNAMICS_SFW_Motion_Blur. Edgy dynamic look.,CAMERA
CAMERA_SFW_From_Above,"high angle shot, bird's eye view, from above, looking down perspective, overhead angle","from below, worm eye",Overhead angle. Combos: ACTIVITY_Sitting_Relaxed; MOOD_Shy; cozy scenes.,CAMERA
CAMERA_SFW_From_Below,"low angle shot, worm's eye view, looking up, from below perspective, dynamic low angle","from above, flat angle",Dynamic upward angle. Combos: ARCHETYPE_Demon_Queen; MOOD_Confident; BODY_Tall_Elegant.,CAMERA
CAMERA_SFW_Full_Body,"full body shot, full body view, head to toe, complete figure visible","close up, face only, cropped",Full body composition. Combos: ACTIVITY_Dancing; OUTFIT styles; POSE styles. Best for outfit showcases.,CAMERA
CAMERA_SFW_Letterbox,"cinematic letterbox, widescreen black bars, 2.39:1 aspect crop, cinemascope format, cinematic aspect ratio, anamorphic widescreen","square, portrait, standard",Cinematic letterbox bars. Combos: VFX_SFW_Lens_Flare; PALETTE_SFW_Teal_Orange; STYLE_SFW_Concept_Art. Instant film feel. Good for wallpaper crops.,CAMERA
CAMERA_SFW_Over_Shoulder,"over shoulder shot, from behind looking forward, back angle, shoulder perspective, rear composition","full frontal, close face",Over-shoulder cinematic. Combos: SCENE styles; ACTIVITY_Gazing_Horizon; MOOD_Melancholic.,CAMERA
CAMERA_SFW_Side_Profile,"side profile, profile view, lateral view, 90 degree angle, silhouette angle","frontal, from below",Profile view. Combos: LIGHTING_Backlit_Silhouette; HAIR styles; OUTFIT styles. Great for silhouettes.,CAMERA
CAMERA_SFW_Three_Quarter,"three-quarter view, 3/4 angle, upper body, waist up, classic portrait angle","full body, extreme close up",Classic portrait framing. Most versatile camera angle. Works with all content.,CAMERA
CAMERA_SFW_Tilt_Shift,"tilt shift effect, miniature effect, selective focus tilt shift, toy world look, narrow band focus, blur above and below focus","full focus, standard, no blur",Tilt-shift miniature effect. Combos: SCENE_SFW_Cyberpunk_City; CAMERA_SFW_From_Above; STYLE_SFW_Detailed_Realistic. Makes scenes look like toy models.,CAMERA
CAMERA_SFW_Wide_Establishing,"wide shot, establishing shot, character in environment, full scene visible, environment focus, panoramic","close up, face focus, portrait",Full environment shot. Combos: SCENE styles; SEASON styles. Best for wallpaper compositions.,CAMERA
COMPANION_SFW_Cat,"cat companion, cat sitting nearby, cat on shoulder, fluffy cat, feline companion, cat looking at viewer","dog, dragon, alone",Cat companion. Combos: ARCHETYPE_Catgirl; MOOD_Playful; SCENE_Bedroom. Adds warmth.,COMPANION
COMPANION_SFW_Dog,"dog companion, puppy, dog by side, fluffy dog, loyal companion, dog looking up","cat, dragon, alone",Dog companion. Combos: ACTIVITY_Running; SCENE_Forest_Outdoor; MOOD_Playful. Conflicts: COMPANION_Cat.,COMPANION
COMPANION_SFW_Familiar_Spirit,"spirit companion, magical familiar, glowing orb spirit, fairy companion, ethereal spirit, floating companion","realistic, mundane",Magical spirit. Combos: ARCHETYPE_Magical_Girl; ARCHETYPE_Witch; LIGHTING_Volumetric_Rays.,COMPANION
COMPANION_SFW_Small_Dragon,"small dragon companion, tiny dragon on shoulder, baby dragon, cute dragon familiar, pocket dragon","large dragon, cat, dog",Mini dragon familiar. Combos: ARCHETYPE_Witch; ARCHETYPE_Warrior; SCENE_Fantasy_Ruins.,COMPANION
COMPOSITION_SFW_Diagonal,"(diagonal composition:1.2), dynamic diagonal lines, leading lines, angular layout, energetic framing","static, centered, symmetrical",Dynamic diagonals for energy. Combos: ACTIVITY_Running; ACTIVITY_Fighting_Pose; MOOD_Fierce.,COMPOSITION
COMPOSITION_SFW_Dutch_Angle,"dutch angle, tilted camera, diagonal composition, dynamic tilt","flat angle, boring composition",Tilted camera for tension/unease. Combos: MOOD_Fierce; SCENE_Gothic_Castle; ACTION scenes. Conflicts: COMPOSITION_SFW_Symmetry.,COMPOSITION
COMPOSITION_SFW_Framing,"(framed composition:1.3), subject framed by doorway, window frame, arch, foreground framing element, frame within frame","open composition, no framing",Frame-within-frame technique. Combos: SCENE_Gothic_Castle; SCENE_Library; LIGHTING_Volumetric_Rays.,COMPOSITION
COMPOSITION_SFW_Negative_Space,"(negative space:1.3), subject isolated, empty space dominant, minimalist composition, breathing room, vast emptiness around subject","cluttered, crowded frame, busy background",Minimalist negative space. Combos: MOOD_Melancholic; ACTIVITY_Gazing_Horizon; STYLE_Concept_Art.,COMPOSITION
COMPOSITION_SFW_Symmetry,"(symmetrical composition:1.2), centered subject, perfect symmetry, mirrored layout, Wes Anderson style","asymmetrical, dynamic",Wes Anderson-style symmetry. Combos: MOOD_Elegant; SCENE_Ballroom; ARCHETYPE_Demon_Queen. Conflicts: COMPOSITION_SFW_Dutch_Angle.,COMPOSITION
DYNAMICS_SFW_Floating_Gravity,"(floating:1.3), zero gravity, levitating, weightless, hair floating up, clothes floating, suspended in air, anti-gravity","standing grounded, normal gravity",Zero gravity/levitation. Combos: ARCHETYPE_SFW_Magical_Girl; ACTIVITY_Magic_Casting; LIGHTING_Volumetric_Rays.,DYNAMICS
DYNAMICS_SFW_Flying_Debris,"(flying debris:1.2), petals in wind, leaves swirling, sparks flying, paper scraps airborne, embers, floating particles","clean empty air, no particles",Floating debris/particles. Combos: ACTIVITY_Fighting_Pose; SCENE_Fantasy_Ruins; WEATHER_SFW_Windy.,DYNAMICS
DYNAMICS_SFW_Motion_Blur,"(motion blur:1.3), speed blur, movement blur, action blur, dynamic motion, fast movement implied","static, still, no movement",Speed/action blur. Combos: ACTIVITY_Running; ACTIVITY_Fighting_Pose; ACTIVITY_Dancing.,DYNAMICS
DYNAMICS_SFW_Splash_Water,"(water splash:1.3), splashing water, water droplets, water impact, wet spray, water dynamics","dry, still water, no splash",Water splash dynamics. Combos: SCENE_Beach; SCENE_Hot_Spring; SEASON_Summer_Beach.,DYNAMICS
DYNAMICS_SFW_Wind_Hair_Clothes,"(hair blowing in wind:1.3), wind effect on clothing, fabric billowing, wind-blown hair, clothes fluttering, dynamic wind, dramatic wind effect","still, static, calm, no movement",Character wind effect. Combos: SCENE_SFW_Mountain_Top; ARCHETYPE_SFW_Warrior; ACTIVITY_SFW_Gazing_Horizon. Adds cinematic drama. Conflicts: ACTIVITY_SFW_Sitting_Relaxed.,DYNAMICS
ERA_SFW_Feudal_Japan,"(feudal japan:1.2), edo period, samurai era, traditional japanese, ukiyo-e inspired setting, feudal architecture","modern, western, futuristic",Feudal Japan setting. Combos: ARCHETYPE_SFW_Kunoichi; OUTFIT_SFW_Traditional_Japanese; SCENE_SFW_Japanese_Night.,ERA
ERA_SFW_Medieval_Fantasy,"medieval fantasy setting, stone castles, torches, medieval architecture, cobblestone, knights, feudal aesthetic","modern, futuristic, sci-fi",High fantasy medieval. Combos: ARCHETYPE_SFW_Warrior; OUTFIT_SFW_Fantasy_Armor; SCENE_SFW_Gothic_Castle.,ERA
ERA_SFW_Post_Apocalyptic,"(post-apocalyptic:1.3), wasteland, ruined city, overgrown ruins, debris, rust, abandoned buildings, survival aesthetic","pristine, modern, clean, luxury",Post-apocalyptic wasteland. Combos: OUTFIT_SFW_Streetwear; MOOD_SFW_Fierce; SCENE_SFW_Fantasy_Ruins.,ERA
ERA_SFW_Retro_Futurism,"(retro futurism:1.2), 50s sci-fi aesthetic, atomic age, space age design, chrome and optimism, raygun gothic","gritty, dark, medieval, organic",50s/60s retro sci-fi optimism. Combos: STYLE_SFW_Action_Game_Art; LIGHTING_SFW_Bright_Clinical.,ERA
ERA_SFW_Steampunk,"(steampunk:1.3), gears, steam pipes, brass clockwork, victorian machinery, airship, industrial fantasy, goggles","modern, sleek, futuristic, clean",Steampunk aesthetic. Combos: OUTFIT_SFW_Gothic; LIGHTING_SFW_Candlelight; ACCESSORIES_SFW_Glasses.,ERA
ERA_SFW_Victorian,"(victorian era:1.2), 19th century aesthetic, victorian fashion, gaslight, ornate architecture, period accurate","modern, futuristic, casual",Victorian period. Combos: OUTFIT_SFW_Gothic; SCENE_SFW_Gothic_Castle; MOOD_SFW_Elegant.,ERA
EXPRESSION_SFW_Determined,"(determined expression:1.3), set jaw, focused eyes, resolute, unwavering gaze, battle will, strong-willed look","playful, shy, laughing",Resolute determination. Combos: ACTIVITY_Fighting_Pose; MOOD_Fierce; ARCHETYPE_Warrior. Conflicts: EXPRESSION_Laughing.,EXPRESSION
EXPRESSION_SFW_Disgust,"(expression of disgust:1.3), wrinkled nose, sneering, disdainful look, contemptuous expression, raised upper lip, cold dismissal","smiling, gentle, warm",Disgust/contempt expression. Combos: ARCHETYPE_SFW_Aristocrat_Noble; MOOD_SFW_Confident. Strong character personality marker.,EXPRESSION
EXPRESSION_SFW_Exhausted,"(exhausted face:1.2), heavy lidded eyes, dark circles, tired look, sleepy exhausted, worn out expression","energetic, bright-eyed, cheerful",Tired/burnout expression. Combos: MOOD_SFW_Exhausted; SCENE_SFW_Office; TIME_SFW_Midnight.,EXPRESSION
EXPRESSION_SFW_Gentle_Smile,"(gentle smile:1.2), soft smile, warm eyes, kind expression, approachable, natural beauty, subtle happiness","angry, sad, fierce, cold",Warm natural smile. Combos: MOOD_Serene; OUTFIT_Casual; any scene. Most versatile expression.,EXPRESSION
EXPRESSION_SFW_Laughing,"(laughing:1.2), open laughter, joyful expression, eyes crinkled, genuine laugh, carefree, full smile","sad, serious, stoic, fierce",Joyful laughter. Combos: MOOD_Playful; SEASON_Spring_Cherry; COMPANION_Dog. Conflicts: EXPRESSION_Determined.,EXPRESSION
EXPRESSION_SFW_Pensive,"(pensive expression:1.2), thoughtful look, hand to chin, contemplating, introspective gaze, subtle frown","laughing, cheerful, energetic",Thoughtful mood. Combos: MOOD_Melancholic; ACTIVITY_Reading; LIGHTING_Dramatic_Shadow. Conflicts: EXPRESSION_Laughing.,EXPRESSION
EXPRESSION_SFW_Pout,"(pouting:1.3), puffed cheeks, sulking expression, childish pout, stubborn face, arms crossed expression, slightly furrowed brow","smiling, laughing, serene",Pouty sulking expression. Combos: MOOD_SFW_Playful; ARCHETYPE_SFW_Idol; BODY_SFW_Petite_Small. Conflicts: EXPRESSION_SFW_Smug.,EXPRESSION
EXPRESSION_SFW_Shy_Blush,"(blushing:1.3), shy smile, rosy cheeks, embarrassed, hand to face, averted gaze, flustered","confident, smug, fierce",Cute shy blush. Combos: MOOD_Shy; BODY_Petite_Small; ARCHETYPE_Maid. Conflicts: EXPRESSION_Smug.,EXPRESSION
EXPRESSION_SFW_Smug,"(smug expression:1.3), smirk, self-satisfied grin, knowing smile, one eyebrow raised, cocky look","innocent, shy, crying",Smug confident look. Combos: MOOD_Confident; ARCHETYPE_Demon_Queen; ARCHETYPE_Office_Lady. Conflicts: EXPRESSION_Shy_Blush.,EXPRESSION
EXPRESSION_SFW_Surprised,"(surprised expression:1.3), wide eyes, open mouth slightly, eyebrows raised, startled, shocked, taken aback","calm, serene, bored",Surprise reaction. Combos: any action scene; MOOD_Playful. Good for storytelling images.,EXPRESSION
EXPRESSION_SFW_Wink,"(winking:1.3), one eye closed, playful wink, coy look, finger gun optional, charming gesture","serious, crying, fierce",Playful wink. Combos: MOOD_Playful; ARCHETYPE_Idol; OUTFIT_Casual. Conflicts: EXPRESSION_Determined.,EXPRESSION
EXPRESSION_SFW_Yandere,"(yandere expression:1.3), empty stare, blank obsessive eyes, unsettling smile, yandere look, glassy eyes","normal expression, warm, friendly",Unsettling yandere gaze. Combos: RACE_SFW_Vampire; ARCHETYPE_SFW_Demon_Queen; LIGHTING_SFW_Dim_Dark.,EXPRESSION
EYE_SFW_Crimson_Red,"(crimson eyes:1.4), red eyes, blood red iris, vampire eyes, glowing red eyes, scarlet iris, demonic red gaze",natural blue green brown,Red/crimson eyes. Combos: RACE_SFW_Vampire; ARCHETYPE_SFW_Demon_Queen; EXPRESSION_SFW_Yandere. Strong visual.,EYE
EYE_SFW_Golden_Amber,"(golden eyes:1.3), amber eyes, honey golden iris, warm golden gaze, amber colored eyes, glowing golden eyes","blue eyes, green eyes, dark eyes",Golden/amber eyes. Combos: RACE_SFW_Fox_Spirit; RACE_SFW_Dragon_Girl; ARCHETYPE_SFW_Fortune_Teller. Distinctive warm tone.,EYE
EYE_SFW_Heterochromia,"(heterochromia:1.4), mismatched eye color, different colored eyes, one blue one red, odd eyes, heterochromatic irises","matching eyes, uniform color",Heterochromia mismatched eyes. Combos: any ARCHETYPE for unique character identifier. Already in BODY but separate EYE entry for easier access.,EYE
EYE_SFW_Silver_Grey,"(silver eyes:1.3), grey eyes, silver iris, steel grey gaze, moonstone eyes, pale silver irises, cool grey eyes","warm brown, golden, colored",Silver/grey eyes. Combos: RACE_SFW_Vampire; ARCHETYPE_SFW_Knight; PALETTE_SFW_Cold_Blue. Cold elegant.,EYE
EYE_SFW_Violet_Deep,"(violet eyes:1.3), purple eyes, deep violet iris, amethyst eyes, vivid purple gaze, magical violet eyes","brown eyes, natural eye color",Deep violet eyes. Combos: ARCHETYPE_SFW_Witch; RACE_SFW_Demon_Girl; MOOD_SFW_Mysterious. Fantasy staple.,EYE
FORMAT_SFW_Album_Cover,"album cover composition, square format, centered subject, album art aesthetic, music cover art, bold composition, graphic album design","landscape, random crop, text-heavy",Album cover square composition. Combos: PALETTE styles; STYLE_SFW_Modern_Glossy; LIGHTING_SFW_Studio_Three_Point. Good for profile images.,FORMAT
FORMAT_SFW_Character_Sheet,"character sheet, character design turnaround, front and side view, multiple angles, reference sheet, character reference, design sheet, neutral pose clean background","single angle, dramatic lighting, background scene",Character design reference sheet. Combos: STYLE_SFW_Concept_Art; BASE styles. Essential for LoRA dataset prep and character consistency.,FORMAT
FORMAT_SFW_Poster_Vertical,"movie poster composition, (portrait poster format:1.2), dramatic poster layout, hero shot poster, title space at top, centered subject, poster framing","wide landscape, random composition",Movie poster framing. Combos: LIGHTING_SFW_Dramatic_Shadow; STYLE_SFW_Concept_Art; COMPOSITION_SFW_Symmetry. Good for social media vertical.,FORMAT
HAIR_SFW_Ahoge,"(ahoge:1.2), single antenna hair, cowlick, one strand sticking up, cute ahoge","perfectly smooth hair, no stray strands",Cute ahoge. Combos: MOOD_SFW_Playful; ARCHETYPE_SFW_Magical_Girl; ARCHETYPE_SFW_Idol.,HAIR
HAIR_SFW_Braid,"(braided hair:1.2), braid, french braid, side braid, interwoven hair, elven braid, detailed braid","loose straight, bob, twin tails",Braided hair. Combos: ARCHETYPE_Elf_Ranger; OUTFIT_Fantasy_Armor; SCENE_Forest_Outdoor.,HAIR
HAIR_SFW_Buzzcut_Undercut,"(buzzcut:1.2), shaved sides, high fade, military cut, close cropped sides, short top with shaved sides","long hair, twin tails, flowing",Buzzcut/military cut. Combos: BODY_SFW_Muscular_Fit; ARCHETYPE_SFW_Warrior; MOOD_SFW_Fierce. Conflicts: HAIR_SFW_Long_Flowing.,HAIR
HAIR_SFW_Colorful_Dye,"(multicolor hair:1.2), dyed hair, gradient hair, pastel highlights, pink and white, blue tips, ombre hair","natural hair color, plain black, plain brown",Colorful dyed hair. Combos: ARCHETYPE_Idol; ARCHETYPE_Magical_Girl; STYLE_Soft_Pastel. Conflicts: ARCHETYPE_Warrior.,HAIR
HAIR_SFW_Dreadlocks,"(dreadlocks:1.3), locs, thick dreads, long dreadlocks, natural locs, decorated dreads, beaded dreads","straight hair, silky hair, bob",Dreadlocks hairstyle. Combos: OUTFIT_SFW_Streetwear; ARCHETYPE_SFW_Warrior; RACE_SFW_Dark_Elf_Female. Unique visual identifier.,HAIR
HAIR_SFW_Long_Flowing,"(long hair:1.2), flowing hair, silky straight hair, hair blowing in wind, voluminous long hair","short hair, bob, buzzcut",Long flowing hair. Combos: ARCHETYPE_Elf_Ranger; SCENE_Beach; ACTIVITY_Gazing_Horizon. Universal.,HAIR
HAIR_SFW_Messy_Bun,"(messy bun:1.2), hair up in bun, loose strands, casual updo, relaxed bun, hair sticks optional","fully down, twin tails",Casual messy bun. Combos: OUTFIT_Casual; MOOD_Playful; ACTIVITY_Cooking. Conflicts: HAIR_Long_Flowing.,HAIR
HAIR_SFW_Ponytail,"(ponytail:1.2), hair tied back, high ponytail, sleek ponytail, hair band, athletic hairstyle","loose hair, bun",Ponytail. Combos: OUTFIT_Sportswear; ARCHETYPE_Kunoichi; ACTIVITY_Running. Works with most body types.,HAIR
HAIR_SFW_Short_Bob,"(short bob:1.3), bob cut, blunt cut, chin length hair, sleek bob, sharp bangs","long hair, twin tails, ponytail",Short bob. Combos: ARCHETYPE_Office_Lady; OUTFIT_Business_Suit; MOOD_Confident. Conflicts: HAIR_Long_Flowing.,HAIR
HAIR_SFW_Twin_Tails,"(twin tails:1.3), twintails, pigtails, hair ties, symmetrical twin ponytails, cute hairstyle","short hair, bob, bun",Twin tails. Combos: ARCHETYPE_Idol; MOOD_Playful; OUTFIT_School_Uniform. Conflicts: HAIR_Short_Bob.,HAIR
HAIR_SFW_Undercut,"(undercut:1.2), shaved sides, undercut hairstyle, short sides long top, faded undercut","long uniform hair, no shaving",Edgy undercut style. Combos: OUTFIT_SFW_Cyberpunk; OUTFIT_SFW_Streetwear; MOOD_SFW_Confident.,HAIR
HAIR_SFW_Wet,"(wet hair:1.2), soaking wet hair, dripping hair, rain-soaked hair, wet strands clinging","dry hair, fluffy, styled",Wet hair. Combos: WEATHER_SFW_Heavy_Rain; SCENE_SFW_Hot_Spring; SCENE_SFW_Beach.,HAIR
HAIR_SFW_White_Silver,"(white hair:1.3), silver hair, platinum hair, snow white hair, ethereal hair color","black hair, brunette, dark hair",White/silver hair color. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Witch; RACE_Dark_Elf_Female. Adds ethereal quality.,HAIR
LIGHTING_SFW_Bright_Clinical,"bright lighting, clean light, studio lighting, even illumination, no harsh shadows, crisp bright","dark, moody, dim",Clean even light. Combos: OUTFIT_Sportswear; SCENE_Gym; BODY_Muscular_Fit. Good for character focus.,LIGHTING
LIGHTING_SFW_Candlelight,"candlelight, candle flames, warm flickering light, intimate glow, multiple candles, warm orange tones","bright, neon, cold light",Intimate candlelight. Combos: SCENE_Gothic_Castle; SCENE_Library; MOOD_Mysterious.,LIGHTING
LIGHTING_SFW_Dim_Dark,"dim lighting, low key, dark atmosphere, moonlit, night ambiance, moody shadows, minimal light","bright, cheerful, clinical",Dark moody atmosphere. Combos: SCENE_Gothic_Castle; MOOD_Mysterious; ARCHETYPE_Witch.,LIGHTING
LIGHTING_SFW_Dramatic_Shadow,"dramatic lighting, high contrast, strong shadows, chiaroscuro, deep shadows, cinematic lighting","flat lighting, bright cheerful",Cinematic drama. Combos: MOOD_Mysterious; SCENE_Gothic_Castle; STYLE_Dark_Gothic.,LIGHTING
LIGHTING_SFW_Emergency_Lights,"emergency lights, police lights, red blue flashing, siren reflections, strobe effect, flashing red, emergency vehicle lighting, alternating red and blue light","natural, calm, warm",Police/emergency strobe lights. Combos: SCENE_SFW_Cyberpunk_City; WEATHER_SFW_Heavy_Rain; MOOD_SFW_Fierce. High drama urban scenes.,LIGHTING
LIGHTING_SFW_Golden_Hour_Sunset,"golden hour, sunset light, warm golden glow, long shadows, orange sky, sunset colors, magic hour","night, dark, cold",Beautiful sunset. Combos: SCENE_Beach; SCENE_Mountain_Top; ACTIVITY_Gazing_Horizon.,LIGHTING
LIGHTING_SFW_Neon_Colorful,"neon lighting, colorful lights, vibrant colors, neon signs, multicolor illumination, electric atmosphere","natural, soft, dim, monochrome",Neon vibrant. Combos: SCENE_Cyberpunk_City; OUTFIT_Cyberpunk; ARCHETYPE_Idol.,LIGHTING
LIGHTING_SFW_Neon_Purple_Pink,"purple neon, pink neon, neon purple pink, synthwave lighting, retrowave colors, violet glow, magenta accents","natural, warm, golden",Synthwave aesthetic. Combos: SCENE_Cyberpunk_City; OUTFIT_Cyberpunk; STYLE_Action_Game_Art.,LIGHTING
LIGHTING_SFW_Night_Moonlit,"moonlight, full moon, blue moonlight, night sky, silver light, stars, cool blue tones, lunar glow, rim lighting from moon","daytime, bright sun, warm",Moonlit night. Combos: SCENE_Japanese_Night; ARCHETYPE_Kunoichi; ARCHETYPE_Witch.,LIGHTING
